voivodships,line type,2015,2022
Poland,regional in kw,191483,75701
Poland,suburban in kw,351801,250547
Poland,urban in kw,2092,808
dolnośląskie,regional in kw,9272,2615
dolnośląskie,suburban in kw,27221,23288
dolnośląskie,urban in kw,135,218
kujawsko-pomorskie,regional in kw,26568,5006
kujawsko-pomorskie,suburban in kw,39944,23160
kujawsko-pomorskie,urban in kw,131,0
lubelskie,regional in kw,17814,6270
lubelskie,suburban in kw,30667,15262
lubelskie,urban in kw,20,0
lubuskie,regional in kw,6238,4195
lubuskie,suburban in kw,15883,12656
lubuskie,urban in kw,62,0
łódzkie,regional in kw,12600,5240
łódzkie,suburban in kw,20231,14888
łódzkie,urban in kw,100,138
małopolskie,regional in kw,3023,2697
małopolskie,suburban in kw,7422,3594
małopolskie,urban in kw,89,0
mazowieckie,regional in kw,30436,4407
mazowieckie,suburban in kw,56062,21302
mazowieckie,urban in kw,476,10
opolskie,regional in kw,3505,908
opolskie,suburban in kw,9771,13488
opolskie,urban in kw,70,70
podkarpackie,regional in kw,6137,6611
podkarpackie,suburban in kw,18118,22649
podkarpackie,urban in kw,60,0
podlaskie,regional in kw,8949,7782
podlaskie,suburban in kw,15205,10939
podlaskie,urban in kw,50,35
pomorskie,regional in kw,11728,9645
pomorskie,suburban in kw,18495,17578
pomorskie,urban in kw,220,60
śląskie,regional in kw,6481,1205
śląskie,suburban in kw,16019,7857
śląskie,urban in kw,253,229
świętokrzyskie,regional in kw,3412,380
świętokrzyskie,suburban in kw,9601,6580
świętokrzyskie,urban in kw,0,0
warmińsko-mazurskie,regional in kw,12870,4018
warmińsko-mazurskie,suburban in kw,16317,7760
warmińsko-mazurskie,urban in kw,313,0
wielkopolskie,regional in kw,12797,7766
wielkopolskie,suburban in kw,31262,27344
wielkopolskie,urban in kw,62,0
zachodniopomorskie,regional in kw,19653,6956
zachodniopomorskie,suburban in kw,19583,22202
zachodniopomorskie,urban in kw,51,48
