REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Dolnośląskie,,,,,,,,,,,x,x,x,x,x
Kujawsko-Pomorskie,,,,,,,,,,,x,x,x,x,x
Lubelskie,,,,,,,,,,,x,x,x,x,x
Lubuskie,,,,,,,,,,,x,x,x,x,x
Łódzkie,,,,,,,,,,,x,x,x,x,x
Małopolskie,,,,,,,,,,,x,x,x,x,x
Mazowieckie,,,,,,,,,,,x,x,x,x,x
Opolskie,,,,,,,,,,,x,x,x,x,x
Podkarpackie,,,,,,,,,,,x,x,x,x,x
Podlaskie,,,,,,,,,,,x,x,x,x,x
Pomorskie,,,,,,,,,,,72.0,69.6,73.2,77.7,80.0
Śląskie,,,,,,,,,,,x,x,x,x,x
Świętokrzyskie,,,,,,,,,,,x,x,x,x,x
Warmińsko-Mazurskie,,,,,,,,,,,0.2,1.0,1.5,0.9,1.5
Wielkopolskie,,,,,,,,,,,x,x,x,x,x
Zachodniopomorskie,,,,,,,,,,,27.8,29.3,25.3,21.4,18.5
